Drug,Comments
Eflornithine,Avoid
Enalapril,Amount probably too small to be harmful
Ephedrine,Irritability and disturbed sleep reported
Ergocalciferol,Caution with high doses; may cause hypercalcaemia in infant
Erythromycin,Only small amounts in milk—not known to be harmful
Ethambutol,Amount too small to be harmful
Ethinylestradiol,"Use alternative method of contraception; may inhibit lactation; see also contraceptives, oral"
Ethosuximide,Significant amount in milk; continue breast-feeding; adverse effects possible; monitor infant for drowsiness
Etoposide,Contraindicated
Fluconazole,Present in milk; safe in usual dosage; monitor infant
Flucytosine,Manufacturer advises avoid
Fluorouracil,Discontinue breast-feeding
Fluphenazine,Amount excreted in milk probably too small to be harmful; continue breast-feeding; adverse effects possible; monitor infant for drowsiness
Furosemide,Amount too small to be harmful
Gentamicin,Amount probably too small to be harmful; monitor infant for thrush and diarrhoea
Glibencla- mide,Theoretical possibility of hypoglycaemia in infant
Griseofulvin,Avoid—no information available
Haloperidol,Amount present in milk probably too small to be harmful; continue breast-feeding; adverse effects possible; monitor infant for drowsiness
Halothane,Present in milk
Hydralazine,Present in milk but not known to be harmful; monitor infant
Hydrochloro- thiazide,Continue breast-feeding; may inhibit lactation
Hydrocortisone,Systemic effects in infant unlikely with maternal dose of less than equivalent of prednisolone 40 mg daily; monitor infant’s adrenal function with higher doses
Ibuprofen,Amount too small to be harmful; short courses safe in usual doses
Imipenem + cilastatin,Present in milk—manufacturer advises avoid
Indinavir,see abacavir
Insulin,Amount too small to be harmful
Iodine,Stop breast-feeding; danger of neonatal hypothyroidism or goitre; appears to be concentrated in milk
Isoniazid,Monitor infant for possible toxicity; theoretical risk of convulsions and neuropathy; prophylactic pyridoxine advisable in mother and infant
Ivermectin,Avoid treating mother until infant is 1 week old
Lamivudine,Present in milk; see abacavir
Levamisole,Breast-feeding contraindicated
Levodopa + carbidopa,Present in milk—levodopa may inhibit lactation
Levonorgestrel,Combined oral contraceptives may inhibit lactation—use alternative method of contraception until weaning or for 6 months a%er birth; progestogen-only contraceptives do not affect lactation (preferably start 6 weeks a%er birth or later)
Levothyroxine,Amount too small to affect tests for neonatal hypothyroidism
Lidocaine,Amount too small to be harmful
Lithium,"Present in milk and risk of toxicity in infant; continue breast- feeding; monitor infant carefully, particularly if risk of dehydration"
Lopinavir + ritonavir,see abacavir
Lumefantrine,see artemether + lumefantrine
Mebendazole,Amount too small to be harmful
Medroxy- progesterone,Present in milk—no adverse effects reported (preferably start injectable contraceptive 6 weeks a%er birth or later)
Mefloquine,Present in milk but risk to infant minimal
Mercapto- purine,Breast-feeding contraindicated
Metformin,Present in milk but safe in usual doses; monitor infant
Methadone,Withdrawal symptoms in infant; dose should be as low as possible and infant monitored to avoid sedation
Methotrexate,Breast-feeding contraindicated
Methyldopa,Amount too small to be harmful
Metoclopramide,Present in milk; adverse effects possible; monitor infant for adverse effects
Metronidazole,Significant amount in milk; continue breast-feeding; avoid large doses; use alternative drug if possible
Mifepristone,Avoid breast-feeding for 14 days a%er administration
Misoprostol,No information available—manufacturer advises avoid
Morphine,Short courses safe in usual doses; monitor infant
Nelfinavir,see abacavir
Neostigmine,Amount probably too small to be harmful; monitor infant
Nevirapine,Present in milk; see abacavir
Nifedipine,Small amount in milk; continue breast-feeding; monitor infant
Nitrofurantoin,Only small amounts in milk but could be enough to produce hemolysis in G6PD deficient infants
Norethisterone,Combined oral contraceptives may inhibit lactation—use alternative method of contraception until weaning or for 6 months a%er birth; progestogen-only contraceptives do not affect lactation (preferably start injectable contraceptive 6 weeks a%er birth or later)
Nystatin,"No information available, but absorption from gastrointestinal tract negligible"
Ofloxacin,Continue breast-feeding; use alternative drug if possible
Oxamniquine,"No information available, but considered preferable to avoid"
Paracetamol,Small amount present in milk: short courses safe in usual dosage; monitor infant
Penicillamine,No information available—manufacturer advises avoid unless potential benefit outweighs risk
Pentamidine isetionate,Manufacturer advises avoid unless essential
Pentavalent antimony compounds,Avoid
Phenobarbital,Continue breast-feeding; adverse effects possible; monitor infant for drowsiness
Phenoxymethyl- penicillin,Trace amounts in milk; safe in usual dosage; monitor infant
Phenytoin,Small amount present in milk; continue breast-feeding; adverse effects possible; monitor infant for drowsiness
Potassium iodide,Stop breast-feeding; danger of neonatal hypothyroidism or goitre; appears to be concentrated in milk
Povidone–iodine,Avoid; iodine absorbed from vaginal preparations is concentrated in milk
Praziquantel,Avoid breast-feeding during and for 72 hours a%er treatment; considered safe to continue breast-feeding in treatment of schistosomiasis
Prednisolone,Systemic effects in infant unlikely with maternal dose of less than prednisolone 40 mg daily; monitor infant’s adrenal function with higher doses
Primaquine,No information available; risk of haemolysis in G6PD- deficient infants
Procainamide,Present in milk; continue breastfeeding; monitor infant
Procaine benzylpenicillin,Trace amounts in milk; safe in usual dosage; monitor infant
Procarbazine,Breast-feeding contraindicated
Proguanil,Amount probably too small to be harmful when used for malaria prophylaxis; inadequate for reliable protection against malaria in breastfed infant
Promethazine,Safe in usual dosage; monitor infant for drowsiness
Propranolol,Present in milk; safe in usual dosage; monitor infant
Propylthiouracil,Monitor infant’s thyroid status but amounts in milk probably too small to affect infant; high doses might affect neonatal thyroid function
Pyrazinamide,Amount too small to be harmful
Pyridostig- mine,Amount probably too small to be harmful
Pyrimethamine,Significant amount—avoid administration of other folate antagonists to infant; avoid breast-feeding during toxoplasmosis treatment
Quinidine,Significant amount but not known to be harmful
Quinine,Present in milk—continue breast-feeding and monitor infant; risk of haemolysis in G6PD-deficient infants
Ranitidine,"Significant amount present in milk, but not known to be harmful"
Retinol,Theoretical risk of toxicity in infants of mothers taking large doses
Rifampicin,Amount too small to be harmful
Ritonavir,see lopinavir with ritonavir
Salbutamol,Safe in usual dosage; monitor infant
Saquinavir,see abacavir
Senna,Continue breast-feeding; monitor infant for diarrhoea
Silver sulfadiazine,"Continue breast-feeding; monitor infant for jaundice—small risk of kernicterus in infants particularly with long acting sulphonamides, and of haemolysis in G6PD-deficient infants"
Sodium valproate,see valproate
Spectinomycin,No information available
Spironolactone,Amount probably too small to be harmful
Stavudine,see abacavir
Streptomycin,Present in milk; continue breast-feeding—monitor infant for thrush and diarrhoea
Sulfadiazine,Monitor infant for jaundice—small risk of kernicterus in infants and of haemolysis in G6PD-deficient infants; caution in ill or premature infants
Sulfadoxine + pyrimethamine,Monitor infant for jaundice—small risk of kernicterus in infants and of haemolysis in G6PD-deficient infants (due to sulfadoxine); caution in ill or premature infants
Sulfamethoxa- zole + trimethoprim,Monitor infant for jaundice—small risk of kernicterus in infants and of haemolysis in G6PD-deficient infants (due to sulfamethoxazole); caution in ill or premature infants
Sulfasalazine,Use with caution; monitor infant for jaundice—small amounts in milk (1 report of bloody diarrhoea and rashes); theoretical risk of neonatal haemolysis especially in G6PD-deficient infants; caution in ill or premature infants
Tamoxifen,Suppresses lactation; avoid unless potential benefit outweighs risk
Testosterone,Avoid; may cause masculinization in the female infant or precocious development in the male infant; high doses suppress lactation
Tetracycline,Continue breast-feeding; use alternative drug if possible (absorption and therefore discoloration of teeth in infant probably usually prevented by chelation with calcium in milk)
Thiamine,Severely thiamine-deficient mothers should avoid breast- feeding as toxic methyl-glyoxal excreted in milk
Thiopental,Present in milk—not known to be harmful
Trimethoprim,Present in milk; safe in usual dosage;
Valproic acid,Amount too small to be harmful
"Vaccine, Influenza",Not known to be harmful
Vancomycin,Present in milk—significant absorption following oral administration unlikely
Verapamil,Amount too small to be harmful
Vinblastine,Breast-feeding contraindicated
Vincristine,Breast-feeding contraindicated
Warfarin,Risk of haemorrhage; increased by vitamin K deficiency. Trace amounts of warfarin found in breast milk. Amounts too small to reduce the blood clotting. Use cautiously.
Zidovudine,see abacavir
