Medicine,Comment,Drug induced liver disease
Nitrofurantoin,Cholestatic jaundice and chronic active hepatitis reported,"Cholestasis with hepatitis, Chronic active hepatitis, Granulomatous hepatitis"
Norethisterone,Avoid in active liver disease and if history of pruritus or cholestasis during pregnancy,Cholestasis without hepatitis
Ofloxacin,Hepatic dysfunction reported; reduce dose in severe liver disease,-
Paracetamol,Dose-related toxicity—avoid large doses,"Acute Hepatocellular necrosis, chronic active hepatitis"
Pentavalent antimony compound,Increased risk of liver damage and hepatic failure in pre-existing liver disease,-
Phenobarbital,May precipitate coma,-
Phenytoin,Reduce dose to avoid toxicity,"Acute hepatitis, Cholestasis with hepatitis, chronic active hepatitis, Chronic cholestasis, Granulomatous hepatitis"
Prednisolone,Adverse effects more common,-
Procarbazine,Avoid in severe hepatic impairment,-
Promethazine,Avoid—may precipitate coma in severe liver disease; hepatotoxic,-
Propranolol,Reduce oral dose,-
Propylthiouracil,Reduce dose;,-
Pyrazinamide,Monitor hepatic function—idiosyncratic hepatotoxicity more common; avoid in severe hepatic impairment;,Acute hepatitis
Pyrimethamine,Use with caution,-
Ranitidine,Increased risk of confusion; reduce dose,Cholestasis with hepatitis
Ribavirin,Avoid in severe hepatic dysfunction or decompensated cirrhosis,-
Rifampicin,Impaired elimination; monitor liver function; avoid or do not exceed 8 mg/ kg daily,Acute hepatitis
Ritonavir,See Lopinavir + ritonavir,-
Saquinavir,Manufacturer advises caution in moderate hepatic impairment; avoid in severe impairment,-
Simvastatin,Avoid in active liver disease or unexplained persistent elevations in serum transaminases,-
Sodium nitroprusside,Avoid in severe liver disease,-
Sulfadiazine,Avoid if severe,-
Sulfamethoxa- zole + trimethoprim,Manufacturer advises avoid in severe liver disease,-
Sulphonamides,-,"Acute Hepatocellular necrosis, Acute hepatitis, Cholestasis with hepatitis, chronic active hepatitis, Granulomatous hepatitis"
Suxamethonium,Prolonged apnoea may occur in severe liver disease due to reduced hepatic synthesis of plasma cholinesterase,-
Testosterone,Preferably avoid—possibility of dose- related toxicity and fluid retention,-
Thiopental,Reduce dose for induction in severe liver disease,-
Valproic acid,Avoid if possible—hepatotoxicity and hepatic failure may occasionally occur (usually in first 6 months),Acute Hepatocellular necrosis
Verapamil,Reduce oral dose,-
Vincristine,Dose reduction may be necessary,-
Warfarin,"Avoid in severe liver disease, especially if prothrombin time already prolonged",Cholestasis without hepatitis
Zidovudine,Accumulation may occur,-
