Drug,Grade,Comment
Sulfamethoxa- zole + trimethoprim,Mild,Use half normal dose if creatinine clearance 15–30 ml/minute; avoid if creatinine clearance less than 15 ml/minute and if plasma-sulfamethoxazole concentration cannot be monitored
Sulfasalazine,Moderate,Risk of toxicity including crystalluria—ensure high fluid intake
Sulfasalazine,Severe,Avoid
Trimethoprim,Mild,Use half normal dose after 3 days if creatinine clearance 15–30 ml/minute
Trimethoprim,Moderate to severe,Use half normal dose if creatinine clearance less than 15 ml/minute; avoid if creatinine clearance less than 10 ml/minute (unless plasma- trimethoprim concentration monitored)
Valproic acid,Mild to moderate,Reduce dose
Valproic acid,Severe,Alter dosage according to free serum valproic acid concentration
Vancomycin,Mild,Reduce dose—monitor plasma-vancomycin concentration and renal function regularly
Warfarin,Severe,Avoid
Zidovudine,Severe,Reduce dose; manufacturer advises oral dose of 300–400 mg daily in divided doses or intravenous dose of 1 mg/kg 3–4 times daily
