Medicine,Comment,Cat.
Levothyroxine,Monitor maternal serum thyrotrophin concentration; levothyroxine may cross the placenta and excessive dosage can be detrimental to fetus,A
Lidocaine,"Third trimester: With large doses, neonatal respiratory depression, hypotonia, and bradycardia a#er paracervical or epidural block",B
Lithium,First trimester: Avoid if possible (risk of teratogenicity including cardiac abnormalities) Second and third trimesters: Dose requirements increased (but on delivery return to normal abruptly); close monitoring of serum lithium concentration advised (risk of toxicity in neonate),D
Lopinavir + ritonavir,Avoid if possible in first trimester; avoid oral solution due to high propylene glycol content,C
Magnesium sulfate,"Fetal skeletal demineralization, hypocalcemia, hypermagnesium reported with continuous long-term use (ie longer than 5-7days), preterm labor in pregnant women; the effect on the developing fetus may result in neonates with skeletal abnormalities. Third trimester: not known to be harmful for short term intravenous administration in eclampsia but excessive doses may cause neonatal respiratory depression",D
Mebendazole,Toxicity in animal studies. Contraindicated in cestode infections First trimester: Avoid in nematode infections,C
Medroxy- progesterone acetate,Avoid (genital malformations and cardiac defects reported in male and female fetuses); inadvertent use of depot medroxyprogesterone acetate contraceptive injection in pregnancy unlikely to harm fetus,X
Mefloquine,"Use only if other antimalarials inappropriate,",B
Mercaptopurine,Avoid (teratogenic),D
Methadone,Third trimester: Depresses neonatal respiration; withdrawal effects in neonates of dependent mothers; gastric stasis and risk of inhalation pneumonia in mother during labour,C
Methotrexate,Avoid (teratogenic); fertility may be reduced during therapy but this may be reversible; use effective contraception during and for at least 6 months a#er administration to men or women,X
Methyldopa,Not known to be harmful,B
Metoclopramide,Not known to be harmful,B
Metronidazole,Avoid high-dose regimens,B
Mifepristone,"If treatment fails, pregnancy must be terminated by another method",X
Misoprostol,"Potent uterine stimulant; may be teratogenic; if medical abortion fails, pregnancy must be terminated by another method",X
Morphine,Third trimester: Depresses neonatal respiration; withdrawal effects in neonates of dependent mothers; gastric stasis and risk of inhalation pneumonia in mother during labour,C*
Naloxone,Use only if potential benefit outweighs risk,C
Nelfinavir,Avoid if possible in first trimester; potential benefit of treatment considered to outweigh risk in second and third trimesters,B
Neostigmine,Third trimester: Neonatal myasthenia with large doses,C
Nevirapine,Avoid if possible in first trimester; benefit of treatment considered to outweigh risk in second and third trimesters,C
Niclosamide,T. solium infections in pregnancy should be treated immediately,B
Nifedipine,"Some dihydropyridines are teratogenic in animals, but risk to fetus should be balanced against risk of uncontrolled maternal hypertension; may inhibit labour (used for premature labour)",C
Nifurtimox,First trimester: Avoid,B
Nitrofurantoin,Third trimester: May produce neonatal haemolysis if used at term,B*
Nitrous oxide,Third trimester: Depresses neonatal respiration,C
Norethisterone,Avoid,X
Nystatin,"No information available, but absorption from gastrointestinal tract negligible",C
Ofloxacin,Avoid (arthropathy in animal studies); safer alternatives available,C
Oxamniquine,"If immediate treatment not required, schistosomiasis treatment should be delayed until a#er delivery;",C
Paracetamol,Not known to be harmful,B
Penicillamine,Fetal abnormalities reported rarely; avoid if possible,D
Pentamidine isetionate,Potentially fatal visceral leishmaniasis must be treated without delay; should not be withheld in trypanosomiasis even if evidence of meningoencephalitic involvement; potentially fatal P. carinii (P. jiroveci) pneumonia must be treated without delay,C
Phenobarbital,"First and third trimesters: Congenital malformations — risk of teratogenicity greater if more than one antiepileptic used; may possibly cause vitamin K deficiency and risk of neonatal bleeding; if vitamin K not given at birth, neonate should be monitored closely for signs of bleeding",D
Phenytoin,"First and third trimesters: Congenital malformations (screening advised); adequate folate supplements should be given to mother (for example, folic acid 5 mg daily); risk of teratogenicity greater if more than one antiepileptic used; may possibly cause vitamin K deficiency and risk of neonatal bleeding; if vitamin K not given at birth, neonate should be monitored closely for signs of bleeding NOTE. Caution in interpreting plasma phenytoin concentrations — bound phenytoin may be reduced but free (or effective) phenytoin unchanged;",D
Phytomenadione,No specific information available; use only if potential benefit outweighs risk,C
Podophyllum resin,Avoid; neonatal death and teratogenesis have been reported,X
Potassium iodide,Second and third trimesters: Neonatal goitre and hypothyroidism,D
Praziquantel,"T. solium infections in pregnancy should be treated immediately; benefit of treatment in schistosomiasis outweighs risk; if immediate treatment not considered essential for fluke infections, treatment should be delayed until a#er delivery",B
Prednisolone,"Benefit of treatment, for example in asthma, outweighs risk; risk of intrauterine growth retardation on prolonged or repeated systemic treatment; corticosteroid cover required by mother during labour; monitor closely if fluid retention",C
Primaquine,Third trimester: Neonatal haemolysis and methaemoglobinaemia; delay treatment until a#er delivery,C
Procarbazine,Avoid (teratogenic in animal studies and isolated reports in humans),D
Promethazine,No evidence of teratogenicity,C
Propranolol,"May cause intrauterine growth restriction, neonatal hypoglycaemia, and bradycardia; risk greater in severe hypertension",C
Propylthiouracil,Second and third trimesters: Neonatal goitre and hypothyroidism,D
Pyrazinamide,Use only if potential benefit outweighs risk,C
Pyridostigmine,Third trimester: Neonatal myasthenia with large doses,B
Pyrimethamine,First trimester: Theoretical teratogenic risk (folate antagonist); adequate folate supplements should be given to the mother; avoid in pneumocystosis and toxoplasmosis; see Sulfadiazine,C
Quinidine,Not known to be harmful at therapeutic doses,C
Quinine,First trimester: High doses are teratogenic; but in malaria benefit of treatment outweighs risk,X
Ranitidine,Not known to be harmful,B
Retinol,First trimester: Excessive doses may be teratogenic,A*
Ribavirin,Avoid (teratogenic); use effective contraception during and for at least 7 months a#er administration to men or women,X
Rifampicin,First trimester: Very high doses teratogenic in animal studies; Third trimester: Risk of neonatal bleeding may be increased,C
Salbutamol,Appropriate to use for asthma; high doses should be given by inhalation only — parenteral use can affect the myometrium and possibly cause cardiac problems,C
Saquinavir,Avoid if possible in first trimester; potential benefit of treatment considered to outweigh risk in second and third trimesters,B
Silver sulfadiazine,Third trimester: Neonatal haemolysis and methaemoglobinaemia; fear of increased risk of kernicterus in neonates appears to be unfounded,C*
Simvastatin,Avoid — congenital anomalies reported; decreased synthesis of cholesterol possibly affects fetal development,X
Sodium nitroprusside,Potential for accumulation of cyanide in fetus — avoid prolonged use,C
Spironolactone,Toxicity in animal studies,C
Stavudine,Avoid if possible in first trimester; increased risk of lactic acidosis and hepatic steatosis,C
Streptokinase,Possibility of premature separation of placenta in first 18 weeks; theoretical possibility of fetal haemorrhage throughout pregnancy; risk of maternal haemorrhage on postpartum use,C
Streptomycin,"Second and third trimesters: Auditory or vestibular nerve damage; avoid unless essential (if given, serum streptomycin concentration monitoring essential)",D
Sulfadoxine + pyrimethamine,"In malaria, benefit of prophylaxis and treatment outweigh risk First trimester possible teratogenicity Third trimester: Neonatal haemolysis and methaemoglobinaemia; fear of increased risk of kernicterus in neonates appears to be unfounded",C
Sulfamethoxa- zole + trimethoprim,First trimester: Teratogenic risk (trimethoprim is a folate antagonist) Third trimester: Neonatal haemolysis and methaemoglobinaemia; fear of increased risk of kernicterus in neonates appears to be unfounded,D
Sulfasalazine,Third trimester: Theoretical risk of neonatal haemolysis; adequate folate supplements should be given to mother,"B,D*"
Suramin sodium,"In onchocerciasis, delay treatment until a#er delivery; in T. brucei rhodesiense, treatment should be given even if evidence of meningoencephalopathic involvement",NA
Suxamethonium,Mildly prolonged maternal paralysis may occur,C
Tamoxifen,Avoid (possible effects on fetal development); use effective contraception during treatment and for at least 2 months a#er administration to women,D
Tenofovir,No information available; use only if potential benefit outweighs risk,B
Testosterone,Masculinization of female fetus,X
Tetracycline,First trimester: Effects on skeletal development in animal studies Second and third trimesters: Dental discoloration; maternal hepatotoxicity with large doses,D*
Thiopental,Third trimester: Depresses neonatal respiration; dose should not exceed 250 mg,C
Trimethoprim,First trimester: Teratogenic risk (folate antagonist),C
"Vaccine, BCG","First trimester: Theoretical risk of congenital malformations, but need for vaccination may outweigh possible risk to fetus",C
"Vaccine, Influenza",First trimester: avoid; Second and third trimester: not known to be harmful,C
"Vaccine, MMR",Avoid; pregnancy should be avoided for 1 month a#er immunization,X
"Vaccine, Polio- myelitis, live attenuated","First trimester: Theoretical risk of congenital malformations, but need for vaccination may outweigh possible risk to fetus",B*
"Vaccine, Rubella",Avoid; pregnancy should be avoided for 1 month a#er immunization,C
"Vaccine, Yellow fever","First trimester: Theoretical risk of congenital malformations, however need for vaccination may outweigh possible risk to fetus especially a#er the 6th month of pregnancy; pregnant women should be advised not to travel to areas where there is a risk of exposure to yellow fever",C
Valproic acid,First and third trimesters: Increased risk of congenital malformations and developmental delay (counselling and screening advised — folic acid supplements may reduce risk of neural tube defects); risk of teratogenicity greater if more than one antiepileptic used; neonatal bleeding (related to hypofibrinaemia) and neonatal hepatotoxicity also reported,D*
Vancomycin,Use only if potential benefit outweighs risk — plasma vancomycin concentration monitoring essential to reduce risk of fetal toxicity,C*
Vecuronium,No information available; use only if potential benefit outweighs risk,C
Verapamil,May reduce uterine blood flow with fetal hypoxia; may inhibit labour,C
Vinblastine,Avoid (limited experience suggests fetal harm; teratogenic in animal studies),D
Vincristine,Avoid (teratogenicity and fetal loss in animal studies),D
Warfarin,Congenital malformations; fetal and neonatal haemorrhage,D
Zidovudine,Avoid if possible in first trimester; benefit of treatment considered to outweigh risk in second and third trimesters,C
